NBS 2.0;DESCRIÇÃO
1.01;Serviços de construção
1.0101;Serviços de construção de edificações
1.0101.1;Serviços de construção de edificações residenciais
1.0101.11.00;Serviços de construção de edificações residenciais de um e dois pavimentos
1.0101.12.00;Serviços de construção de edificações residenciais com mais de dois pavimentos
1.0101.2;Serviços de construção de edificações não residenciais
1.0101.21.00;Serviços de construção de edificações industriais 
1.0101.22.00;Serviços de construção de edificações comerciais
1.0101.29.00;Serviços de construção de edificações não residenciais não classificados em subposições anteriores
1.0101.30.00;Serviços de construção de edificações de uso misto (residencial e não residencial)
1.0102;Serviços de construção de obras de engenharia civil
1.0102.1;Serviços de construção de autoestradas (exceto autoestradas elevadas), ruas, estradas, estradas férreas, pistas de pouso e de decolagem em aeroportos e infraestrutura aeroportuária
1.0102.11.00;Serviços de construção de autoestradas (exceto autoestradas elevadas), ruas e estradas
1.0102.12.00;Serviços de construção de ferrovias
1.0102.13.00;Serviços de construção de pistas de pouso e decolagem em aeroportos e de infraestrutura aeroportuária
1.0102.20.00;Serviços de construção de pontes, autoestradas elevadas e túneis
1.0102.3;Serviços de construção de portos, vias navegáveis, represas, irrigação e outras obras hídricas
1.0102.31.00;Serviços de construção de infraestrutura de proteção e acesso aquaviário 
1.0102.32.00;Serviços de construção de infraestrutura de acostagem aquaviária
1.0102.33.00;Serviços de construção de infraestrutura terrestre e de obras de engenharia afins nos portos
1.0102.34.00;Serviços de construção de barragens
1.0102.35;Serviços de construção de adutoras em conduto livre, de sistemas de irrigação e relacionados ao controle dos cursos de água 
1.0102.35.10;Serviços de construção de adutoras em conduto livre
1.0102.35.20;Serviços de construção de sistemas de irrigação   
1.0102.35.30;Serviços de construção relacionada ao controle dos cursos de água, inclusive canalização 
1.0102.4;Serviços de construção de dutos e de linhas de comunicação, ambos de longo curso, e de linhas de transmissão de alta tensão
1.0102.41;Serviços de construção de dutos de longo curso
1.0102.41.10;Serviços de construção de dutos de longo curso para o transporte de petróleo, seus derivados, e gás
1.0102.41.20;Serviços de construção de dutos de longo curso para o transporte e escoamento de águas
1.0102.41.90;Serviços de construção de dutos de longo curso não classificados em subposições anteriores
1.0102.42;Serviços de construção de linhas de comunicação de longo curso e linhas de transmissão de alta tensão
1.0102.42.10;Serviços de construção de linhas de comunicação de longo curso 
1.0102.42.20;Serviços de construção de linhas de transmissão de alta tensão
1.0102.5;Serviços de construção de dutos locais e de linhas locais de comunicação e de transmissão de baixa e média tensão e outros serviços de construção relacionados
1.0102.51.00;Serviços de construção de dutos locais
1.0102.52;Serviços de construção de linhas locais de comunicação e de transmissão de baixa e média tensão e outros serviços de construção relacionados
1.0102.52.10;Serviços de construção de linhas locais de comunicação
1.0102.52.20;Serviços de construção de linhas locais de transmissão de baixa e média tensão 
1.0102.53;Serviços de construção de sistemas de esgotos e de sistemas de estações para elevação, tratamento e purificação de água
1.0102.53.10;Serviços de construção de sistemas de esgotos
1.0102.53.20;Serviços de construção de sistemas de estações para elevação, tratamento e purificação de água
1.0102.6;Serviços de construção de instalações industriais 
1.0102.61.00;Serviços de construção de usinas de geração de energia
1.0102.69.00;Serviços de construção de instalações industriais não classificados em subposições anteriores
1.0102.70.00;Serviços de construção de minas e suas unidades industriais
1.0102.80.00;Serviços de construção de instalações para recreação e atividades desportivas ao ar livre
1.0102.90.00;Serviços de construção de obras de engenharia civil não classificados em subposições anteriores
1.0103;Serviços de preparação do local da obra
1.0103.10.00;Serviços de demolição
1.0103.20.00;Serviços de preparação de terrenos e de canteiros de obras
1.0103.30.00;Serviços de escavação e remoção de terra
1.0103.4;Serviços de perfuração de poços de água e de instalação de sistemas sépticos
1.0103.41.00;Serviços de perfuração de poços de água
1.0103.42.00;Serviços de instalação de sistemas sépticos
1.0104.00.00;Serviços de montagem e de edificação de construções pré-fabricadas
1.0105;Serviços especializados de construção
1.0105.1;Serviços de estaqueamento e de fundação
1.0105.11.00;Serviços de estaqueamento
1.0105.12.00;Serviços de fundação
1.0105.2;Serviços de construção de estruturas
1.0105.21.00;Serviços de construção de estruturas de edificações
1.0105.22.00;Serviços de construção de estruturas de telhados e coberturas
1.0105.30.00;Serviços de construção de telhados e coberturas e serviços de impermeabilização
1.0105.40.00;Serviços de concretagem
1.0105.50.00;Serviços de montagem de estruturas de aço
1.0105.60.00;Serviços de alvenaria
1.0105.70.00;Serviços de andaimes
1.0105.90.00;Serviços especializados de construção não classificados em subposições anteriores
1.0106;Serviços de instalação 
1.0106.1;Serviços de instalação elétrica
1.0106.11.00;Serviços de instalação de fiação elétrica e componentes 
1.0106.12.00;Serviços de instalação de alarmes contra incêndio
1.0106.13.00;Serviços de instalação de sistemas de alarmes antifurto
1.0106.14.00;Serviços de instalação de antenas residenciais
1.0106.19.00;Serviços de instalação elétrica não classificados em subposições anteriores
1.0106.2;Serviços de instalação de tubulação para fornecimento e escoamento de água
1.0106.21.00;Serviços de instalação de tubulação para fornecimento de água
1.0106.22.00;Serviços de instalação de tubulação para escoamento de água
1.0106.3;Serviços de instalação de equipamentos de aquecimento, de ventilação e de ar condicionado
1.0106.31.00;Serviços de instalação de equipamentos de aquecimento
1.0106.32.00;Serviços de instalação de equipamentos de ventilação e de ar condicionado
1.0106.40.00;Serviços de instalação de gás
1.0106.50.00;Serviços de instalação de isolamentos
1.0106.60.00;Serviços de instalação de elevadores, esteiras e escadas rolantes
1.0106.90.00;Serviços de instalação não classificados em subposições anteriores
1.0107;Serviços de acabamento
1.0107.10.00;Serviços de vidraçaria
1.0107.20.00;Serviços de gesso e de estuque
1.0107.30.00;Serviços de pintura
1.0107.40.00;Serviços de revestimento de pisos e de paredes
1.0107.50.00;Serviços de carpintaria e de serralharia
1.0107.60.00;Serviços de instalação de cercas e grades
1.0107.90.00;Serviços de acabamento não classificados em subposições anteriores
1.02;Serviços de intermediação na distribuição de mercadorias; serviços de despacho aduaneiro; comércio
1.0201.00.00;Serviços de intermediação na distribuição de mercadorias
1.0202.00.00;Comércio atacadista
1.0203.00.00;Comércio varejista
1.0204.00.00;Serviços de despacho aduaneiro
1.0205.00.00;Serviços de intermediação na comercialização de energia elétrica
1.03;Fornecimento de alimentação e bebidas e serviços de hospedagem
1.0301;Fornecimento de alimentação, incluindo refeições
1.0301.10.00;Fornecimento de refeições acompanhado de serviços de restaurante
1.0301.2;Fornecimento de refeições com serviços limitados de restaurante
1.0301.21.00;Fornecimento de refeições pelo sistema de autosserviço (self-service)
1.0301.22.00;Fornecimento de comidas rápidas (fast-food)
1.0301.29.00;Fornecimento de refeições com serviços limitados de restaurante não classificado em subposições anteriores
1.0301.3;Fornecimento de alimentação, incluindo refeições, sob contrato
1.0301.31.00;Fornecimento de alimentação para eventos
1.0301.32.00;Fornecimento de alimentação para operadores de transportes (comissaria ou catering)
1.0301.39.00;Fornecimento de alimentação, incluindo refeições, sob contrato não classificado em subposições anteriores
1.0301.90.00;Fornecimento de alimentação não classificado em subposições anteriores
1.0302.00.00;Fornecimento de bebidas em bares, cervejarias e outros
1.0303;Serviços de hospedagem para visitantes
1.0303.1;Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes
1.0303.11.00;Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes, com serviços diários de faxina
1.0303.12.00;Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes, sem serviços diários de faxina
1.0303.13.00;Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes, em propriedades partilhadas
1.0303.14.00;Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes, em quartos de múltipla ocupação
1.0303.20.00;Serviços de acampamentos turísticos (camping)
1.0303.90.00;Serviços de hospedagem para visitantes não classificados em subposições anteriores
1.0304;Serviços de hospedagem, exceto para visitantes
1.0304.10.00;Serviços de hospedagem em quartos ou unidades de hospedagem para estudantes em residências estudantis
1.0304.20.00;Serviços de hospedagem em quartos ou unidades de hospedagem para trabalhadores em hotéis ou campos
1.0304.90.00;Serviços de hospedagem, exceto para visitantes não classificados em subposições anteriores
1.04;Serviços de transporte de passageiros
1.0401;Serviços de transporte local de passageiros
1.0401.1;Serviços de transporte terrestre local de passageiros
1.0401.11;Serviços de transporte rodoviário local regular de passageiros
1.0401.11.1;Serviços de transporte rodoviário local regular de passageiros, exceto em áreas metropolitanas
1.0401.11.11;Serviços de transporte rodoviário local prestados exclusivamente por meio de ônibus
1.0401.11.19;Serviços de transporte rodoviário local regular de passageiros, exceto em áreas metropolitanas não classificados em subitens anteriores
1.0401.11.20;Serviços de transporte rodoviário local regular de passageiros, em áreas metropolitanas 
1.0401.12;Serviços especiais de transporte rodoviário local regular de passageiros
1.0401.12.10;Serviços de transporte escolar
1.0401.12.20;Serviços de transporte para aeroportos (shuttle)
1.0401.12.90;Serviços especiais de transporte rodoviário local regular de passageiros não classificados em itens anteriores
1.0401.13.00;Serviços de táxi
1.0401.14.00;Serviços de carro com motorista, exceto táxi
1.0401.15;Serviços de transporte rodoviário local de passageiros por fretamento
1.0401.15.10;Serviços de fretamento contínuo, local
1.0401.15.20;Serviços de fretamento eventual ou turístico, local
1.0401.16;Serviços de transporte local de passageiros por veículos sobre trilhos
1.0401.16.10;Serviços de transporte ferroviário local de passageiros
1.0401.16.20;Serviços de transporte metroviário (metrô) local de passageiros
1.0401.16.90;Serviços de transporte local de passageiros por veículos sobre trilhos não classificados em itens anteriores
1.0401.17;Serviços de transporte terrestre para passeios turísticos (sightseeing)
1.0401.17.10;Serviços de transporte rodoviário para passeios turísticos (sightseeing)
1.0401.17.20;Serviços de transporte ferroviário para passeios turísticos (sightseeing)
1.0401.17.90;Serviços de transporte terrestre para passeios turísticos (sightseeing) não classificados em itens anteriores
